people	entidad	description	importe	apuntes	img
Pablo Abejas	-	Presidente de la Comisión de Control de Caja Madrid
Miguel Ángel Abejón Resa	-	Miembro de la Comisión de Control de Caja Madrid
José Luis Acero Benedicto	IU	Consejero nombrado a propuesta de IU
José Acosta Cubero	PSOE	Consejero nombrado a propuesta del PSOE
María Enedina Álvarez Gayol	PSOE	Consejera nombrada a propuesta del PSOE
Matías Amat	-	Director general de Negocio de Caja Madrid
Miguel Ángel Araujo	PP	Consejero nombrado a propuesta del PP
José María Arteta Vico	PSOE	Consejero nombrado a propuesta del PSOE
Juan Astorqui	-	Director de Comunicación de Caja Madrid
Juan José Azcona Olondriz	-	Miembro de la Comisión de Control de Caja Madrid
Francisco Baquero	CCOO	Consejero nombrado a propuesta de CC.OO.
Pedro Bedia Pérez	CCOO	Consejero nombrado a propuesta de CC.OO.
Rodolfo Benito Valenciano	CCOO	Consejero nombrado a propuesta de CC.OO.
Luis Blasco Bosqued	-	Miembro de la Comisión de Control de Caja Madrid
Miguel Blesa	-	Presidente de Caja Madrid entre 1996 y 2009			img/miguel-blesa.png
José María Buenaventura Zabala	PP	Consejero nombrado a propuesta del PP
Pedro Bugidos Garay	-	Miembro de la Comisión de Control de Caja Madrid
José Caballero Domínguez	PSOE	Consejero nombrado a propuesta del PSOE
María Carmen Cafranga Cavestany	-	Presidenta de la Fundación Caja Madrid
Antonio Cámara Eguinoa	PP	Consejero nombrado a propuesta del PP
Cándido Cerón Escudero	PP	Consejero nombrado a propuesta del PP	78059.64	578
Carmen Contreras	-	Directora gerente de Obra Social en Caja Madrid
José Carlos Contreras Gómez	-	Consejero ejecutivo	21816.98	210
Miguel Corsini Freese	-	Consejero de Caja Madrid	46970.16	228
Alejandro Couceiro Ojeda	-	Miembro de la Comisión de Control de Caja Madrid	68494.49	549
Rubén Cruz Uribe	IU	Consejero nombrado a propuesta de IU	229750.50	3306
Mercedes de la Merced	PP	Consejera nombrada a propuesta del PP	284404.42	1618
Ignacio de Navasques Cobián	-	Miembro de la Comisión de Control de Caja Madrid	191981.52	1494
Ramón Espinar Gallego	PSOE	Consejero nombrado a propuesta del PSOE	173999.17	2709
Arturo Fernández	CEIM	Consejero nombrado a propuesta de la patronal CEIM	38776.57	134
José María Fernández del Río Fernández	PP	Consejero nombrado a propuesta del PP	38714.23	430
José Manuel Fernández Norniella	-	Consejero ejecutivo	185100.99	1006
Ramón Ferraz Ricarte	-	Consejero ejecutivo
Carlos Mª Martínez	-	Consejero ejecutivo
Ricardo Morado Iglesias	-	Director de Organizacion de Caja Madrid
José Antonio Moral Santín	IU	Consejero nombrado a propuesta de IU
Mariano Pérez Claver	-	Consejero ejecutivo
Rodrigo Rato	PP	Presidente de Caja Madrid y Bankia entre 2010 y 2012			img/rodrigo-rato.png
Estanislao Rodríguez-Ponga	PP	Consejero nombrado a propuesta del PP
Antonio Romero Lázaro	PSOE	Consejero nombrado a propuesta del PSOE
Romero de Tejada	PP	Consejero nombrado a propuesta del PP
Ildefonso Sánchez Barcoj	-	Director financiero en Caja Madrid
Rafael Spottorno	-	Director de la Fundacion Caja Madrid
Enrique de la Torre	-	Secretario del Consejo de Caja Madrid
Carlos Vela	-	Responsable de Credito a Empresas de Caja Madrid
Virgilio Zapatero	PSOE	Consejero nombrado a propuesta del PSOE
